,I,ii,iii,IV,V,vi,vii,,Sum
I,0.002,0.143,0.025,0.309,0.376,0.12,0.025,,1
ii,0.274,0.002,0.04,0.032,0.564,0.04,0.048,,1
iii,0.063,0.127,0.003,0.34,0.063,0.383,0.021,,1
IV,0.304,0.132,0.025,0.002,0.38,0.025,0.132,,1
V,0.793,0.021,0.021,0.039,0.002,0.119,0.005,,1
vi,0.115,0.232,0.069,0.139,0.286,0.043,0.116,,1
vii,0.583,0,0.027,0.138,0.194,0.055,0.003,,1
,,,,,,,,,
Sum,2.134,0.657,0.21,0.999,1.865,0.785,0.35,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Long-term result,,,,,,,,0
,1,0,0,0,0,0,0,,1
,0.002,0.143,0.025,0.309,0.376,0.12,0.025,,1
,0.46124,0.080271,0.030421,0.049106,0.240321,0.074539,0.064102,,1
,0.276279485,0.09880311,0.027981439,0.1841127,0.273510471,0.106767519,0.032545276,,1
,0.333503667,0.098075876,0.029535274,0.128412817,0.268728012,0.091354111,0.050390243,,1
,0.321422564,0.09542609,0.028866811,0.146622347,0.267810204,0.097144129,0.042707854,,1
,0.321625142,0.097335966,0.029084838,0.142322484,0.268814465,0.095504843,0.045312263,,1
,0.322981662,0.096469637,0.029037753,0.142682439,0.26838602,0.095773815,0.044668675,,1
,0.322169424,0.096756825,0.029038055,0.142990455,0.268492491,0.095818093,0.044734658,,1
,0.322468136,0.096694454,0.029044011,0.142768795,0.268491806,0.095758131,0.044774668,,1
,0.322400521,0.096694617,0.029040388,0.142857843,0.268475701,0.095787762,0.044743169,,1
,0.322399545,0.096702779,0.029041776,0.142835045,0.268486311,0.095778118,0.044756426,,1
,0.32240997,0.096697808,0.029041427,0.142836334,0.268481806,0.095779866,0.044752788,,1
,0.322403507,0.096699726,0.029041448,0.142838845,0.268483176,0.095780156,0.044753142,,1
,0.32240611,0.096699235,0.029041484,0.142837064,0.268482937,0.095779723,0.044753446,,1
,0.32240538,0.096699271,0.029041459,0.142837834,0.268482899,0.095779955,0.044753203,,1
,0.322405475,0.096699318,0.02904147,0.142837599,0.268482954,0.09577987,0.044753313,,1
,0.322405516,0.096699283,0.029041467,0.142837639,0.268482926,0.095779891,0.044753278,,1
,0.322405478,0.096699298,0.029041467,0.142837647,0.268482936,0.09577989,0.044753285,,1
,0.322405496,0.096699294,0.029041467,0.142837637,0.268482934,0.095779888,0.044753285,,1
,0.32240549,0.096699294,0.029041467,0.142837642,0.268482934,0.095779889,0.044753284,,1
