,I,I6,I64,V/IV,V6/IV,V64/IV,V7/IV,V65/IV,V43/IV,V42/IV,ii,ii6,ii64,ii7,ii65,ii43,ii42,V/V,V6/V,V64/V,V7/V,V65/V,V43/V,V42/V,iii,iii6,iii64,V/vi,V6/vi,V64/vi,V7/vi,V65/vi,V43/vi,V42/vi,bIII,IV,IV6,IV64,IV7,IV65,IV43,IV42,iv,viio/V,viio6/V,viio64/V,viio7/V,viio65/V,viio43/V,viio42/V,V,V6,V64,V7,V65,V43,V42,vi,vi6,vi64,V/ii,V6/ii,V64/ii,V7/ii,V65/ii,V43/ii,V42/ii,bVI,viio,viio6,viio64,viio7,viio65,viio43,viio42,bVII
I,,,,x,,,x,,,,x,x,,x,x,,,,,,,,,,,,,x,,,x,,,,x,x,x,,x,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,x
I6,,,,,,,,,,,x,x,,x,x,,,,,,,,,,x,,,x,,,x,,,,,x,,,x,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V/IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V6/IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V64/IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V7/IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V65/IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V43/IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V42/IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ii,,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ii6,,x,x,,,,,,,,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ii64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ii7,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ii65,,x,x,,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ii43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
